,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
3275,10880391,892,68800,36,44,2022,0,1,2.0,2.0,0,2985.0,150.0,145.0,1,0
3276,10879838,625,48230,29,90,2022,0,0,5.0,5.0,0,1329.0,95.0,121.0,1,3
3277,10871647,1232,95000,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3278,10871365,1296,100000,18,58,2022,0,1,2.0,2.0,0,7790.0,150.0,145.0,1,0
3279,10871217,905,69800,36,44,2022,0,1,2.0,2.0,0,2985.0,150.0,145.0,1,0
3282,10864984,905,69800,36,44,2022,0,1,2.0,2.0,0,2985.0,150.0,145.0,1,0
3283,10864608,1462,112800,18,95,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3284,10864359,1151,88800,18,94,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3285,10864294,1125,86800,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3286,10864178,1543,119000,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3288,10858107,3824,295000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3289,10856982,3824,295000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3290,10688290,1400,108000,36,74,2022,0,1,3.0,2.0,0,2494.0,102.0,260.0,1,0
3291,10855558,1164,89800,18,95,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3292,10855260,905,69800,36,44,2022,0,1,2.0,2.0,0,2985.0,150.0,145.0,1,0
3293,10855084,1407,108500,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3295,7292569,2383,183800,25,34,2022,1,0,5.0,7.0,0,2488.0,194.0,258.0,1,3
3296,10823382,1136,87600,36,139,2022,0,0,5.0,5.0,0,1496.0,107.0,140.0,1,3
3297,10823324,1136,87600,36,139,2022,0,0,5.0,5.0,0,1496.0,107.0,140.0,1,3
